quantity,bin,binBarcode,shelf,level,productName,productType,sku,option1,option2,option3,lotName,expiration,warehouse,minCost,avgCost,maxCost,price,committed,incoming,velocity
0,BIN 1,1776787343289,Spurs,1,AJR Sport Hammerhead Thin Spur,Tack & Equipment > Spurs & Straps > English Spurs,SPTHIN35,Size: 35mm,,,,,Wellington Warehouse,43500,43500,43500,75000,0,0,
1,BIN 1,1776787343289,Spurs,1,AJR Sport Hammerhead Thick Spur,Tack & Equipment > Spurs & Straps > English Spurs,SPHT15,Size: 15mm,,,,,Wellington Warehouse,43500,43500,43500,75000,0,0,
0,BIN 1,1776787343289,Spurs,1,AJR Sport Matte Black Square End Spur (Block Design),Tack & Equipment > Spurs & Straps > English Spurs,SPMBS15,Size: 15mm,,,,,Wellington Warehouse,49500,49500,49500,90000,0,0,
0,BIN 1,1776787343289,Spurs,1,AJR Sport Matte Black Prince of Wales Spur,Tack & Equipment > Spurs & Straps > English Spurs,SPMBP25,Size: 25 mm,,,,,Wellington Warehouse,41250,41250,41250,75000,0,0,
0,BIN 1,1776787343289,Spurs,1,AJR Sport Rubber Covered Block Spur,Tack & Equipment > Spurs & Straps > English Spurs,SPRCB35,Size: 35mm,,,,,Wellington Warehouse,50460,50460,50460,87000,0,0,
0,BIN 1,1776787343289,Spurs,1,AJR Sport Matte Black Round End Spur,Tack & Equipment > Spurs & Straps > English Spurs,SPMBE15,Size: 15mm,,,,,Wellington Warehouse,46750,46750,46750,85000,0,0,
0,BIN 1,1776787343289,Spurs,1,AJR Sport UFO Spur,Tack & Equipment > Spurs & Straps > English Spurs,SPUFO30,Size: 30mm,,,,,Wellington Warehouse,46400,46400,46400,80000,0,0,
1,BIN 1,1776787343289,Spurs,1,AJR Sport Stainless Steel Roller Ball Horizontal Spur,Tack & Equipment > Spurs & Straps > English Spurs,SPRBH25,Size: 25mm,,,,,Wellington Warehouse,37700,37700,37700,65000,0,0,0.01245373
1,BIN 1,1776787343289,Spurs,1,AJR Sport Smooth Rowel Spur Vertical,Tack & Equipment > Spurs & Straps > English Spurs,SPSRSV25,Size: 25mm,,,,,Wellington Warehouse,46400,46400,46400,80000,0,0,
0,BIN-04,1768845014312,Shelf 13,4,AJR Sport Anatomic Jumper Bridle,"Tack & Equipment > Bridles, Headstalls & Reins > English Bridles & Reins > Bridles",BRD-019-C,Color: Brown,Size: Cob,,,,Wellington Warehouse,196620,196620,196620,339000,0,0,
1,BIN 1,1776787343289,Spurs,1,AJR Sport TeffleX Vertical Roller Spur,Tack & Equipment > Spurs & Straps > English Spurs,SPTV35,Size: 35mm,,,,,Wellington Warehouse,50460,50460,50460,87000,0,0,
0,BIN 1,1776787343289,Spurs,1,AJR Sport Stainless Steel Roller Ball Vertical Spur,Tack & Equipment > Spurs & Straps > English Spurs,SPRBV35,SIze: 35mm,,,,,Wellington Warehouse,37700,37700,37700,65000,0,0,
0,BIN 1,1776787343289,Spurs,1,AJR Sport TeffleX Horizontal Roller Spur,Tack & Equipment > Spurs & Straps > English Spurs,SPTH35,Size: 35mm,,,,,Wellington Warehouse,50460,50460,50460,87000,0,0,
0,BIN 1,1776787343289,Spurs,1,AJR Sport Stainless Steel Roller Ball Vertical Spur,Tack & Equipment > Spurs & Straps > English Spurs,SPRBV30,SIze: 30mm,,,,,Wellington Warehouse,37700,37700,37700,65000,0,0,
0,BIN 1,1776787343289,Spurs,1,AJR Sport UFO Spur,Tack & Equipment > Spurs & Straps > English Spurs,SPUFO35,Size: 35mm,,,,,Wellington Warehouse,46400,46400,46400,80000,0,0,
0,BIN 1,1776787343289,Spurs,1,AJR Sport Smooth Rowel Spur Vertical,Tack & Equipment > Spurs & Straps > English Spurs,SPSRSV35,Size: 35mm,,,,,Wellington Warehouse,46400,46400,46400,80000,0,0,
1,BIN 1,1776787343289,Spurs,1,AJR Sport Stainless Steel Roller Ball Vertical Spur,Tack & Equipment > Spurs & Straps > English Spurs,SPRBV25,SIze: 25mm,,,,,Wellington Warehouse,37700,37700,37700,65000,0,0,
0,BIN 1,1776787343289,Spurs,1,AJR Sport Stainless Steel Roller Ball Horizontal Spur,Tack & Equipment > Spurs & Straps > English Spurs,SPRBH035,Size: 35mm,,,,,Wellington Warehouse,37700,37700,37700,65000,0,0,
0,BIN 1,1776787343289,Spurs,1,AJR Sport Stainless Steel Roller Ball Horizontal Spur,Tack & Equipment > Spurs & Straps > English Spurs,SPRBH30,Size: 30mm,,,,,Wellington Warehouse,37700,37700,37700,65000,0,0,
0,BIN 1,1776787343289,Spurs,1,AJR Sport Smooth Rowel Spur Vertical,Tack & Equipment > Spurs & Straps > English Spurs,SPSRSV30,Size: 30mm,,,,,Wellington Warehouse,46400,46400,46400,80000,0,0,
0,BIN 1,1776787343289,Spurs,1,AJR Sport Smooth Rowel Horizontal Spur,Tack & Equipment > Spurs & Straps > English Spurs,SPRH25,Size: 25mm,,,,,Wellington Warehouse,46400,46400,46400,80000,0,0,
0,BIN-04,1768845014312,Shelf 13,4,AJR Sport Anatomic Jumper Bridle,"Tack & Equipment > Bridles, Headstalls & Reins > English Bridles & Reins > Bridles",BRD-019-F,Color: Brown,Size: Full,,,,Wellington Warehouse,196620,196620,196620,339000,0,0,
