quantity,bin,binBarcode,shelf,level,productName,productType,sku,option1,option2,option3,lotName,expiration,warehouse,minCost,avgCost,maxCost,price,committed,incoming,velocity
-5,,,,,Jack's Cordura Stall Guard,Stable > Stable Supplies > Stall Supplies,4486NV/WH,Body Color: Navy,Trim Color: White,,,,Drop Ship,29350,29350,29350,49990,0,0,
-1,,,,,Cross Ties with Bolt Snap,Stable > Stable Supplies > Cross Ties & Trailer Ties,20177-RE,Color: Red,,,,,Drop Ship,20150,20150,20150,29990,0,0,
-1,,,,,Cross Ties with Bolt Snap,Stable > Stable Supplies > Cross Ties & Trailer Ties,20177-NV,Color: Navy,,,,,Drop Ship,20150,20150,20150,29990,0,0,
-2,,,,,EnviroEquine Structure+,Horse Care > Supplements > Joint Health,EESTRU1UNIT,Size: 1 Gallon,,,,,Drop Ship,192370,192370,192370,295950,0,0,0.02721089
-1,,,,,De Prix Soft Gel Pad,Tack & Equipment > English Saddle Pads > Half Pads,1274,Title: Default Title,,,,,Drop Ship,29170,29170,29170,40990,0,0,0.01497195
-1,,,,,GEL-EZE Wither Pads,Tack & Equipment > English Saddle Pads > Half Pads,1388,Title: Default Title,,,,,Drop Ship,49000,49000,49000,74950,0,0,
-11,,,,,IChON Sterile S-GAG Vials 100mg/mL,Pharmacy > Joint & Ligament,80332-658,Size: 1 vial,,,,,Drop Ship,21920,21920,21920,27400,0,0,
-60,,,,,Equioxx Tablets,Pharmacy > Anti-Inflammatory & Pain,80216-795-685,Size: 57 mg (sold per tablet),,,,,Drop Ship,1590,1590,1590,1730,0,0,
-1,,,,,Back on Track Airflow Collection Brush Boot,Tack & Equipment > Boots & Wraps > Protective Boots > Front Boots,20199004,Color: Black,"Size: XLarge (18"")",,,,Drop Ship,42000,42000,42000,84000,0,0,
-4,,,,,"1"" Horse Havana Track Halter with Snap",Tack & Equipment > Halters & Leads > Halters > Leather Halters,110SCH,Size: Cob,,,,,Drop Ship,57950,57950,57950,127490,0,0,
-1,,,,,EquiLume Stable Light,Horse Care > Equine Therapy > Light Therapy,EQUILUMESTABLE,Title: Default Title,,,,,Drop Ship,637500,637500,637500,750000,0,0,
-1,,,,,EquiLume Curragh Replacement Light Cup,Horse Care > Equine Therapy > Light Therapy,CURRAGHREPLACEMENT,Title: Default Title,,,,,Drop Ship,220000,220000,220000,275000,0,0,
-2,,,,,RevitaVet Poll Cap,Horse Care > Equine Therapy > Light Therapy,RVPOLLCAP,Title: Default Title,,,,,Drop Ship,300000,300000,300000,429000,0,0,0.02206828
-1,,,,,ProSeries Derby Pelham Bit,Tack & Equipment > Bits > English Bits,4787-5-3/4,Size: 5 3/4 Inches,,,,,Drop Ship,75000,75000,75000,109990,0,0,0.017652461
-2,,,,,Nunn Finer Betris Bridle,"Tack & Equipment > Bridles, Headstalls & Reins > English Bridles & Reins > Bridles",BETRISH,Size: Horse,,,,,Drop Ship,199000,199000,199000,445000,0,0,
-2,,,,,Nunn Finer Arianna Bridle,"Tack & Equipment > Bridles, Headstalls & Reins > English Bridles & Reins > Bridles",ARIANNAH,Size: Horse,,,,,Drop Ship,199000,199000,199000,450000,0,0,
-4,,,,,Nunn Finer Betris Bridle,"Tack & Equipment > Bridles, Headstalls & Reins > English Bridles & Reins > Bridles",BETRISOS,Size: Oversize,,,,,Drop Ship,199000,199000,199000,445000,0,0,
-1,,,,,Nunn Finer Florence Bridle,"Tack & Equipment > Bridles, Headstalls & Reins > English Bridles & Reins > Bridles",FLORENCEH,Size: Horse,,,,,Drop Ship,199000,199000,199000,445000,0,0,
-1,,,,,Bluebonnet Lifeline+ Equine,Horse Care > Supplements > Vitamins & Minerals,177578-ED,Size: 44 lb Refill (100-200 days),,,,,Drop Ship,284000,284000,284000,392000,0,0,
-1,,,,,Bluebonnet Rewind Joint,Horse Care > Supplements > Joint Health,177595-ED,Size: 44 lbs Refill (110 Days),,,,,Drop Ship,184500,184500,184500,270000,0,0,
-1,,,,,Bluebonnet Amino Edge,Horse Care > Supplements > Weight Gain & Muscle,177333-AD,Size: 40 lb (40-80 days),,,,,Drop Ship,78750,78750,78750,114000,0,0,0.020132255
-1,,,,,Bluebonnet Pro Balance,Horse Care > Supplements > Vitamins & Minerals,177560-ED,Size: 44lb Refill (100-200 days),,,,,Drop Ship,183750,183750,183750,268000,0,0,
-1,,,,,Nunn Finer Valeria Short Girth,Tack & Equipment > Girths & Cinches > English Girths > Hunter/Jumper Girths,Valeria-BR24,Color: Havana,"Size: 24""",,,,Drop Ship,84000,84000,84000,172000,0,0,0.037595417
-1,,,,,Nunn Finer Argento Standing Martingale,Tack & Equipment > Martingales & Breastplates,294H,Color: Havana,Size: Horse,,,,Drop Ship,48000,48000,48000,116000,0,0,
-1,,,,,Nunn Finer Argento Running Martingale,Tack & Equipment > Martingales & Breastplates,293H,Color: Havana,Size: Horse,,,,Drop Ship,48000,48000,48000,120000,0,0,
-1,,,,,Nunn Finer Andrea Girth,Tack & Equipment > Girths & Cinches > English Girths > Hunter/Jumper Girths,ANDREA-BK22,Color: Black,"Size: 22""",,,,Drop Ship,84000,84000,84000,172000,0,0,0.079189956
-1,,,,,Nunn Finer Flat Leather Draw Reins with Snaps,Tack & Equipment > Training & Lunging > Training Reins,7BK,Color: Black,,,,,Drop Ship,58000,58000,58000,120000,0,0,
-1,,,,,"Nunn Finer Nylon Center Stirrup Leathers 1"" Wide",Tack & Equipment > Stirrups & Leathers > Stirrup Leathers & Accessories,430HA,Color: Havana,"Size: 54""",,,,Drop Ship,67000,67000,67000,130000,0,0,0.0135903945
-1,,,,,Dy'on Patent Large Crank Noseband Double Bridle,"Tack & Equipment > Bridles, Headstalls & Reins > Dressage Bridles",WOECASBLF,Size: Full,,,,,Drop Ship,77240,77240,77240,424990,0,0,
-1,,,,,RevitaVet Knee Saver,Horse Care > Equine Therapy > Light Therapy,RevitaVetKneeSaver-Single,Quantity: Single,,,,,Drop Ship,300000,300000,300000,429000,0,0,
-1,,,,,RevitaVet Knee Saver,Horse Care > Equine Therapy > Light Therapy,RevitaVetKneeSaver-Pair,Quantity: Pair,,,,,Drop Ship,300000,300000,300000,799000,0,0,0.023445982
-2,,,,,5/A Baker Elizabeth Bag,Rider > Bags > Totes & Pouches,7050-BK,Color: Black,,,,,Drop Ship,179000,179000,179000,357950,0,0,0.0114153195
-2,,,,,5/A Baker Duffle Bag,Rider > Bags > Totes & Pouches,7052-BR,Color: Brown,,,,,Drop Ship,154000,154000,154000,307950,0,0,
0,bin 1,1767031197411,First Shelf,1,Corro Equestrian Boot Bag,Rider > Bags > Boot Bags,SME001,"Size: 28.3"" x 15.4"" x 10.2""",Color: Navy,,,,Drop Ship,134490,134490,134490,174990,0,0,1.2383889
-5,,,,,RevitaVet Infrared Blanket,Horse Care > Equine Therapy > Light Therapy,RVBLANKET,Color: Black,,,,,Drop Ship,2800000,2800000,2800000,3999990,0,0,0.017882226
2,,,,,Horseware Ireland Fly Boots,Horse Wear > Fly & Insect Control > Fly Boots,DBHF22-IJI0-PY,Size: Pony,Color: Silver/Titanium Gray,,,,Drop Ship,17740,17740,17740,39950,0,0,0.08380212
